team,team_logo_spk_retro,team_logo_spk_classic_white,team_logo_spk_classic_dark
ARI,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/ARI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/ARI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/ARI.png
ATL,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/ATL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/ATL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/ATL.png
BAL,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/BAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/BAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/BAL.png
BUF,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/BUF.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/BUF.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/BUF.png
CAR,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/CAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CAR.png
CHI,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/CHI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CHI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CHI.png
CIN,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/CIN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CIN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CIN.png
CLE,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/CLE.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/CLE.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/CLE.png
DAL,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/DAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/DAL.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/DAL.png
DEN,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/DEN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/DEN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/DEN.png
DET,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/DET.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/DET.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/DET.png
GB,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/GB.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/GB.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/GB.png
HOU,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/HOU.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/HOU.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/HOU.png
IND,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/IND.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/IND.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/IND.png
JAX,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/JAX.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/JAX.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/JAX.png
KC,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/KC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/KC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/KC.png
LAC,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/LAC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/LAC.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/LAC.png
LAR,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/LAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/LAR.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/LAR.png
LV,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/LV.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/LV.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/LV.png
MIA,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/MIA.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/MIA.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/MIA.png
MIN,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/MIN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/MIN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/MIN.png
NE,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/NE.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/NE.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/NE.png
NO,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/NO.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/NO.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/NO.png
NYG,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/NYG.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/NYG.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/NYG.png
NYJ,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/NYJ.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/NYJ.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/NYJ.png
PHI,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/PHI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/PHI.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/PHI.png
PIT,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/PIT.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/PIT.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/PIT.png
SEA,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/SEA.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/SEA.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/SEA.png
SF,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/SF.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/SF.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/SF.png
TB,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/TB.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/TB.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/TB.png
TEN,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/TEN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/TEN.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/TEN.png
WAS,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/WAS.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-white-bg/WAS.png,https://raw.githubusercontent.com/sportfoliokings/public/master/logos/classic-dark-bg/WAS.png